일자,중식계,석식계
2021-01-27,984.3403524244131,0
2021-01-28,847.4416256385957,0
2021-01-29,617.9778858799182,0
2021-02-01,1194.1742274234894,0
2021-02-02,1088.0233289352873,0
2021-02-03,994.4614218077113,0
2021-02-04,899.3938447003202,0
2021-02-05,691.9015543657588,0
2021-02-08,1159.7182182027864,0
2021-02-09,1068.1509676759088,0
2021-02-10,873.7243384775902,0
2021-02-15,1183.1445689470274,0
2021-02-16,1087.108875823349,0
2021-02-17,1001.3753566046362,0
2021-02-18,803.0995772626848,0
2021-02-19,642.1734050293526,0
2021-02-22,1093.5208767452932,0
2021-02-23,1033.4140413136993,0
2021-02-24,894.95823928147,0
2021-02-25,783.8622006139303,0
2021-02-26,569.1366978623591,0
2021-03-02,1084.4954755603285,0
2021-03-03,1004.7055182010772,0
2021-03-04,844.0920257328034,0
2021-03-05,687.4395023200923,0
2021-03-08,1162.747021259751,0
2021-03-09,1102.339597108181,0
2021-03-10,1005.3941029713642,0
2021-03-11,850.0720781821401,0
2021-03-12,667.1527495268056,0
2021-03-15,1180.4196800493155,0
2021-03-16,1081.701807175883,0
2021-03-17,972.0049186016222,0
2021-03-18,818.2229903756888,0
2021-03-19,624.1866299167123,0
2021-03-22,1133.9425647617682,0
2021-03-23,1015.700019875705,0
2021-03-24,887.2314782811518,0
2021-03-25,750.1190077652282,0
2021-03-26,565.3281576612208,0
2021-03-29,1110.6434107358145,0
2021-03-30,1021.7436770601453,0
2021-03-31,912.5368381162807,0
2021-04-01,799.9719054839697,0
2021-04-02,599.4868637521795,0
2021-04-05,1142.0047099764924,0
2021-04-06,1103.9433035327384,0
2021-04-07,938.7259966218699,0
2021-04-08,817.0924517025524,0
2021-04-09,608.0158180195504,0
